"","DATE","OPINION","PROS","CONS","company"
"2160","Sales Assistant (Current Employee) - Carmarthen, Carmarthenshire - 9 July 2020","The day I turned up for an interview and got told to go to the customer service desk on  arrival (from a previous long-awaited phone call) there was no one to help. I should have known how understaffed this store would be. ","None","Depends how much you let them con you","MORRISONS"
"2161","Assistant (Current Employee) - West Midlands - 8 July 2020","Rude and ignorant managers who constantly put you down.","Non","Everything","MORRISONS"
"2162","Night cleaner (Former Employee) - Inverness - 7 July 2020",NA,"Staff discount, have had some really fun days here.","Stressful for everyone when short of staff.","MORRISONS"
"2163","Assistant (Former Employee) - Norwich, Norfolk - 7 July 2020","Pros aren't worth it","Pay depending on role is good for this sector","Stupidly long hours, a culture of fantasy where everyone ignores the real issues","MORRISONS"
"2164","Apprentice (Current Employee) - Bath, Somerset - 7 July 2020","Rude managers, poor range of hours, little or no say in what times or days you work.","None","Everything","MORRISONS"
"2165","Night Customer Assistant (Current Employee) - Bridport, Dorset - 7 July 2020","Stressful, rules change according to the whim of the section manager. The store is understaffed and places huge pressure on existing staff to do more with less. It is generally an unhappy place for people on the shop floor.","Meeting new people / staff discount","Last minute phone calls for cover","MORRISONS"
"2166","Assistant (Former Employee) - Chippenham, Wiltshire - 5 July 2020",NA,"Leaving, Employee Discount","no breaks, pay, workload","MORRISONS"
"2167","Butchers Assistant (Current Employee) - Staffordshire - 5 July 2020","0% discount","None","Being English","MORRISONS"
"2168","Sales assistant (Current Employee) - Stone, Staffordshire - 3 July 2020","No courtesy or respect from management, Staff are treated with contempt because the managers are young and arrogant.","clocking out","managers, over worked, unreachable goals","MORRISONS"
"2169","Carnicero (Former Employee) - Gibraltar - 2 July 2020","Morrisons is a job, and like all others there are a few faults. These are minor and take no shine from the benefits. ","Good wage","No team work, cooperation, no good management of people hired on different departments","MORRISONS"
"2170","Butcher (Former Employee) - New Brighton, Merseyside - 2 July 2020","You MUST have good work ethic, have an outgoing personality and be able to pull your weight. ","Pros aren't worth it","Rude managers, poor range of hours, little or no say in what times or days you work.","MORRISONS"
"2171","Assistant Deputy Manager (Former Employee) - Lincoln - 1 July 2020","Fast paced, chilled, easy, tiring, long, exciting, fun, enjoyable, calming, funny....","0% discount","No courtesy or respect from management, Staff are treated with contempt because the managers are young and arrogant.","MORRISONS"
"2172","People Manager (Former Employee) - Wales - 1 July 2020","NIGHT PAY...11.15! ","Pay, cctv protection, hours, jokes, management, staff, holiday, uniform, discount, pay.","Sometimes a fridge breaks down, its annoying..get over it, deal with it, job done, pub?!","MORRISONS"
"2173","Team Manager (Former Employee) - Kettering - 30 June 2020","Remember; ""The more you put in, the more you get out!""","None","None","MORRISONS"
"2174","HR- Payroll Assistant (Current Employee) - London - 28 June 2020",NA,"Pays on time, bonus scheme","Management often unsupportive and rude, Unattainable target setting and Managers unwilling to stand up to higher managers for their staff.","MORRISONS"
"2175","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","Pay, cctv protection, hours, jokes, management, staff, holiday, uniform, discount, pay.","Free Drinks","unsociable Hours","MORRISONS"
"2176","Department Manager (Former Employee) - United Kingdom - 11 July 2020","Sometimes a fridge breaks down, its annoying..get over it, deal with it, job done, pub?!","Some good people on the departments to work with","Management haven't got a clue and dont care","MORRISONS"
"2177","Retail Assistant (Former Employee) - London - 11 July 2020","Management don’t care all it takes for one bad day with their superiors before they take their anger out on colleges for no reason, you are bullied, made to feel beneath them, they need to realise without other regular staff they would be nothing so they need to show more respect.","None","Depends how much you let them con you","MORRISONS"
"2178","Night Team Manager (Former Employee) - Castle Bromwich, West Midlands - 11 July 2020",NA,"Non","Everything","MORRISONS"
"2179","Customer Assistant (Former Employee) - Aldershot - 9 July 2020","If something is closed a tad early they bully you instead of guiding you this place is a complete joke and I would say avoid at all costs","Staff discount, have had some really fun days here.","Stressful for everyone when short of staff.","MORRISONS"
"2180","Home Delivery Driver (Former Employee) - Cornwall - 9 July 2020",NA,"Pay depending on role is good for this sector","Stupidly long hours, a culture of fantasy where everyone ignores the real issues","MORRISONS"
"2181","Sales Assistant (Current Employee) - Carmarthen, Carmarthenshire - 9 July 2020","None","None","Everything","MORRISONS"
"2182","Assistant (Current Employee) - West Midlands - 8 July 2020","None","Meeting new people / staff discount","Last minute phone calls for cover","MORRISONS"
"2183","Night cleaner (Former Employee) - Inverness - 7 July 2020","Management are hopeless, no support just attitude,they seem to hire managers with no people skills AT all. Shop floor staff get little support especially in the areas of FFP, code checking.Unattainable targets.The only positive is that they pay on time and have a bonus scheme,the discount card is too restricted and only 10% off specified goods.Advancement in company is not encouraged and enquiries fall on deaf ears.Like all food retailers they just want compliant robots working for them. Company was better at the beginning of my career but now it just seems to be getting worse. Cleaning and equipment is not adequately provided ,often mops ","Leaving, Employee Discount","no breaks, pay, workload","MORRISONS"
"2184","Assistant (Former Employee) - Norwich, Norfolk - 7 July 2020","are shared and HHTs are broken making the job harder.Other equipment never seems to available or breaks down with very slow replacements.","None","Being English","MORRISONS"
"2185","Apprentice (Current Employee) - Bath, Somerset - 7 July 2020",NA,"clocking out","managers, over worked, unreachable goals","MORRISONS"
"2186","Night Customer Assistant (Current Employee) - Bridport, Dorset - 7 July 2020","Pays on time, bonus scheme","Good wage","No team work, cooperation, no good management of people hired on different departments","MORRISONS"
"2187","Assistant (Former Employee) - Chippenham, Wiltshire - 5 July 2020","Management often unsupportive and rude, Unattainable target setting and Managers unwilling to stand up to higher managers for their staff.","Pros aren't worth it","Rude managers, poor range of hours, little or no say in what times or days you work.","MORRISONS"
"2188","Butchers Assistant (Current Employee) - Staffordshire - 5 July 2020","Typical Day ","0% discount","No courtesy or respect from management, Staff are treated with contempt because the managers are young and arrogant.","MORRISONS"
"2189","Sales assistant (Current Employee) - Stone, Staffordshire - 3 July 2020","serving customers on check out or helping self service ","Pay, cctv protection, hours, jokes, management, staff, holiday, uniform, discount, pay.","Sometimes a fridge breaks down, its annoying..get over it, deal with it, job done, pub?!","MORRISONS"
"2190","Carnicero (Former Employee) - Gibraltar - 2 July 2020","stack selves when required ,keep work place clean tidy.","None","None","MORRISONS"
"2191","Butcher (Former Employee) - New Brighton, Merseyside - 2 July 2020","management bit up in the air a moment due to restructure","Pays on time, bonus scheme","Management often unsupportive and rude, Unattainable target setting and Managers unwilling to stand up to higher managers for their staff.","MORRISONS"
"2192","Assistant Deputy Manager (Former Employee) - Lincoln - 1 July 2020","Nice Store to work , enjoyable  nice when music is on in the back ground","Free Drinks","unsociable Hours","MORRISONS"
"2193","People Manager (Former Employee) - Wales - 1 July 2020","Shifts could be shared better , ","Some good people on the departments to work with","Management haven't got a clue and dont care","MORRISONS"
"2194","Team Manager (Former Employee) - Kettering - 30 June 2020","Been there 8 months 10 contract  work Saturday or Sunday  very week , get a lot late shifts . ","None","Depends how much you let them con you","MORRISONS"
"2195","HR- Payroll Assistant (Current Employee) - London - 28 June 2020","Would Recommend nice work place , nice colleagues , nice clientele .","Non","Everything","MORRISONS"
"2196","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020",NA,"Staff discount, have had some really fun days here.","Stressful for everyone when short of staff.","MORRISONS"
"2197","Department Manager (Former Employee) - United Kingdom - 11 July 2020","Free Drinks","Pay depending on role is good for this sector","Stupidly long hours, a culture of fantasy where everyone ignores the real issues","MORRISONS"
"2198","Retail Assistant (Former Employee) - London - 11 July 2020","unsociable Hours","None","Everything","MORRISONS"
"2199","Night Team Manager (Former Employee) - Castle Bromwich, West Midlands - 11 July 2020","Buen ambiente en general. Muy ""inglés"". Si te centras en lo tuyo, nadie te molesta.","Meeting new people / staff discount","Last minute phone calls for cover","MORRISONS"
"2200","Customer Assistant (Former Employee) - Aldershot - 9 July 2020",NA,"Leaving, Employee Discount","no breaks, pay, workload","MORRISONS"
"2201","Home Delivery Driver (Former Employee) - Cornwall - 9 July 2020","The senior team don't know how to run their departments. If you're not a brown noser, you won't go far in there.","None","Being English","MORRISONS"
"2202","Sales Assistant (Current Employee) - Carmarthen, Carmarthenshire - 9 July 2020","They dismiss you without taking into account the facts you give them. Told them I suffer with depression...completely disregarded it. Told them dad was Trans...dismissed me for being Transphobic...work that one out","clocking out","managers, over worked, unreachable goals","MORRISONS"
"2203","Assistant (Current Employee) - West Midlands - 8 July 2020",NA,"Good wage","No team work, cooperation, no good management of people hired on different departments","MORRISONS"
"2204","Night cleaner (Former Employee) - Inverness - 7 July 2020","Some good people on the departments to work with","Pros aren't worth it","Rude managers, poor range of hours, little or no say in what times or days you work.","MORRISONS"
"2205","Assistant (Former Employee) - Norwich, Norfolk - 7 July 2020","Management haven't got a clue and dont care","0% discount","No courtesy or respect from management, Staff are treated with contempt because the managers are young and arrogant.","MORRISONS"
"2206","Apprentice (Current Employee) - Bath, Somerset - 7 July 2020","You get paid how you get on with the GM. They tried to rip me off with wages until I spoke up. The politics is all wrong at this company therefore I wouldnt recommend this company to anyone.","Pay, cctv protection, hours, jokes, management, staff, holiday, uniform, discount, pay.","Sometimes a fridge breaks down, its annoying..get over it, deal with it, job done, pub?!","MORRISONS"
"2207","Night Customer Assistant (Current Employee) - Bridport, Dorset - 7 July 2020",NA,"None","None","MORRISONS"
"2208","Assistant (Former Employee) - Chippenham, Wiltshire - 5 July 2020","None","Pays on time, bonus scheme","Management often unsupportive and rude, Unattainable target setting and Managers unwilling to stand up to higher managers for their staff.","MORRISONS"
"2209","Butchers Assistant (Current Employee) - Staffordshire - 5 July 2020","Depends how much you let them con you","Free Drinks","unsociable Hours","MORRISONS"
"2210","Sales assistant (Current Employee) - Stone, Staffordshire - 3 July 2020","A horrible company to work for. Senior management including regional managers are awful! A culture of bullying and intimidation, a culture of threats. No work life balance, expected to pick up messages and calls on your days off. Unfair salaries between colleagues, and dependant on if your face fits. A company that lies its way through, and does not admit when they have done something wrongX poor morals","Some good people on the departments to work with","Management haven't got a clue and dont care","MORRISONS"
"2211","Carnicero (Former Employee) - Gibraltar - 2 July 2020",NA,"None","Depends how much you let them con you","MORRISONS"
"2212","Butcher (Former Employee) - New Brighton, Merseyside - 2 July 2020","Non","Non","Everything","MORRISONS"
"2213","Assistant Deputy Manager (Former Employee) - Lincoln - 1 July 2020","Everything","Staff discount, have had some really fun days here.","Stressful for everyone when short of staff.","MORRISONS"
"2214","People Manager (Former Employee) - Wales - 1 July 2020","As an assistant, it can be fun but sometimes difficult in food preparation areas. Training is great! As a manager, it’s rewarding but can be very challenging if you are short staffed. It’s difficult to find work/life balance sometimes and you learn a lot of your job as you go, there isn’t much training involved. There are frequent management restructures (every 3 years or so) which can be disheartening.","Pay depending on role is good for this sector","Stupidly long hours, a culture of fantasy where everyone ignores the real issues","MORRISONS"
"2215","Team Manager (Former Employee) - Kettering - 30 June 2020",NA,"None","Everything","MORRISONS"
"2216","HR- Payroll Assistant (Current Employee) - London - 28 June 2020","Staff discount, have had some really fun days here.","Meeting new people / staff discount","Last minute phone calls for cover","MORRISONS"
"2217","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","Stressful for everyone when short of staff.","Leaving, Employee Discount","no breaks, pay, workload","MORRISONS"
"2218","Department Manager (Former Employee) - United Kingdom - 11 July 2020","Bad pay for the effort required","None","Being English","MORRISONS"
"2219","Retail Assistant (Former Employee) - London - 11 July 2020","Unsociable hours ","clocking out","managers, over worked, unreachable goals","MORRISONS"
"2220","Night Team Manager (Former Employee) - Castle Bromwich, West Midlands - 11 July 2020","Lack of empathy from hierarchy (above store level)","Good wage","No team work, cooperation, no good management of people hired on different departments","MORRISONS"
"2221","Customer Assistant (Former Employee) - Aldershot - 9 July 2020","Unrealistic targets","Pros aren't worth it","Rude managers, poor range of hours, little or no say in what times or days you work.","MORRISONS"
"2222","Home Delivery Driver (Former Employee) - Cornwall - 9 July 2020","No work life balance","0% discount","No courtesy or respect from management, Staff are treated with contempt because the managers are young and arrogant.","MORRISONS"
"2223","Sales Assistant (Current Employee) - Carmarthen, Carmarthenshire - 9 July 2020","Does not care about employees, you just a number.","Pay, cctv protection, hours, jokes, management, staff, holiday, uniform, discount, pay.","Sometimes a fridge breaks down, its annoying..get over it, deal with it, job done, pub?!","MORRISONS"
"2224","Assistant (Current Employee) - West Midlands - 8 July 2020",NA,"None","None","MORRISONS"
"2225","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","Working for Morrisons has been a challenge especially with the ever changing pace of working in retail.  Due to constant restructuring it is not a secure or stable position","None","Everything","MORRISONS"
"2226","Night Team Manager (Former Employee) - Walderslade, Kent - 28 June 2020",NA,"Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2227","Floor Staff (Former Employee) - Peterhead, Aberdeenshire - 28 June 2020","Too many managers not good at their jobs always passing the buck they get worse the higher up they go my store manager stayed in her office all day eating and not interacting just barking out orders!!","Money ok","My list would be endless!!","MORRISONS"
"2228","Nights Assistant (Former Employee) - Stanground, Cambridgeshire - 28 June 2020",NA,"If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2229","Customer Service Assistant (Former Employee) - Carlisle, Cumbria - 27 June 2020","None","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2230","Buyer (Former Employee) - Bradford, West Yorkshire - 26 June 2020","Everything","Pay","Poor Management","MORRISONS"
"2231","General Labourer (Former Employee) - Grimsby, Lincolnshire - 20 June 2020","Very stressful, they want you to work around them and don't care about when u can't work coz if ur children. Didn't get enough work benefits. Management are a disgrace and if store manager wants rid of you he will make up lies just to get rid of you no matter what you say, it's worse than being in school and only a small number off staff are genuine, while everyone else will talk about you behind your back and make you job as hard as they want","Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2232","Customer Service Assistant (Current Employee) - United Kingdom - 19 June 2020",NA,"Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2233","Customer Service (Current Employee) - Sheffield, South Yorkshire - 18 June 2020","Some genuine kind staff","None","Don’t expect to have a life outside of work","MORRISONS"
"2234","Sales Assistant and Cashier (Former Employee) - Birmingham, West Midlands - 17 June 2020","Bad management especially store manager","None","Terrible to work for","MORRISONS"
"2235","Team manager (Former Employee) - Bromsgrove, Worcestershire - 17 June 2020","You couldn't get a good work life balance! As there changing the rota every week sometimes at a moment's notice! In your contract it'll say 5 nights out of 7! So they could get you to work 10 nights in a row and then 4 off or split your nights off up!! ","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2236","Warehouse Operative (Former Employee) - Bradford, West Yorkshire - 15 June 2020","Check your payslips every payday as they may not be right!!","Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2237","Duty Manager (Former Employee) - Braintree, Essex, Maldon, Essex. - 14 June 2020","Keep your signed holiday forms safe! You will need them!!","10% Dis","Long hrs","MORRISONS"
"2238","Customer Assistant (Former Employee) - Verwood, Dorset - 13 June 2020","How much work you do is never enough","None","Everything","MORRISONS"
"2239","Deli Counter Assistant (Former Employee) - Gibraltar - 13 June 2020",NA,"Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2240","Warehouse Operative (Former Employee) - Swan Valley - 13 June 2020","Money ok","Money ok","My list would be endless!!","MORRISONS"
"2241","Facilities (Former Employee) - Bradford, West Yorkshire - 10 June 2020","My list would be endless!!","If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2242","Team leader (Former Employee) - Portsmouth - 9 June 2020","Personnel are not there to help. No structures or fairness across the store. Unrealistic expections of work loads. Management couldn't organise themselves let alone staff. Some managers walk around like they have nothing to do. They would walk past wet floor signage to get a member of staff to do it rather than do it themselves.","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2243","Customer Service Assistant (Former Employee) - York, North Yorkshire - 6 June 2020",NA,"Pay","Poor Management","MORRISONS"
"2244","Fishmonger (Former Employee) - Kidderminster, Worcestershire - 5 June 2020","If your face fits you get an easy ride.","Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2245","Customer Services Assistant (Part-time) (Current Employee) - Beverley, East Riding of Yorkshire - 4 June 2020","If you don't cowtail to management then they are out to make your life as difficult as possible","Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2246","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","No two days are the same as a buyer at Morrisons. You will be thrown in the deep end from day 1, and there isn't a lot of training so be prepared to learn quickly! The variety of the job is one of the best bits, you touch pretty much every area of the business and have a great deal of responsibility. The leadership generally has strong direction, however the workplace can be very political. I would say there is a bit of a bums on seats culture although that is changing gradually. Morrisons is still quite old school in its approach to trading. The hardest part of the jobs is getting ahead with your plans and being able to stick to them and execute them. There is a constant risk of being made to change direction very late in the day. The most enjoyable part of the job...a lot of great people work at Morrisons.","None","Don’t expect to have a life outside of work","MORRISONS"
"2247","Night Team Manager (Former Employee) - Walderslade, Kent - 28 June 2020",NA,"None","Terrible to work for","MORRISONS"
"2248","Floor Staff (Former Employee) - Peterhead, Aberdeenshire - 28 June 2020","Good salary, varied work, great people","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2249","Nights Assistant (Former Employee) - Stanground, Cambridgeshire - 28 June 2020","Work life balance, culture","Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2250","Customer Service Assistant (Former Employee) - Carlisle, Cumbria - 27 June 2020","No respect for hard working people. All are being classed the same.","10% Dis","Long hrs","MORRISONS"
"2251","Buyer (Former Employee) - Bradford, West Yorkshire - 26 June 2020","High management always putting pressure on people even in the covid 19 hard times with promotions on, wanting to still keep the social distance.","None","Everything","MORRISONS"
"2252","General Labourer (Former Employee) - Grimsby, Lincolnshire - 20 June 2020",NA,"Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2253","Customer Service Assistant (Current Employee) - United Kingdom - 19 June 2020","Nothing special. You work as the business needs. Not flexible around you. Management pretty poor wouldn't listen to suggestions to be more efficient or make staff happier. Pay is the only thing that is decent. Can't get away early if you need to but happily keep you later than finishing time.  Contracted hours mean nothing will double the hours if they want so expect to work more than your actual hours.","Money ok","My list would be endless!!","MORRISONS"
"2254","Customer Service (Current Employee) - Sheffield, South Yorkshire - 18 June 2020",NA,"If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2255","Sales Assistant and Cashier (Former Employee) - Birmingham, West Midlands - 17 June 2020","Pay","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2256","Team manager (Former Employee) - Bromsgrove, Worcestershire - 17 June 2020","Poor Management","Pay","Poor Management","MORRISONS"
"2257","Warehouse Operative (Former Employee) - Bradford, West Yorkshire - 15 June 2020","Used to be a brilliant place to work, but now it's all about profits and management care about their personal bonus,no work/life balance,some lazy staff who get away with being lazy because they are friendly with management,higher up management really don't care about employees only the tills going Leeching,regional manager Ivo had no manners towards hard working staff only if you are higher up management he will acknowledge you, always restructures happening,I think next restructure will be regional management,if you value your life AVIID this place!!!","Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2258","Duty Manager (Former Employee) - Braintree, Essex, Maldon, Essex. - 14 June 2020",NA,"Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2259","Customer Assistant (Former Employee) - Verwood, Dorset - 13 June 2020","Clocking out for sometime","None","Don’t expect to have a life outside of work","MORRISONS"
"2260","Deli Counter Assistant (Former Employee) - Gibraltar - 13 June 2020","Regional management, undervalued, overworked","None","Terrible to work for","MORRISONS"
"2261","Warehouse Operative (Former Employee) - Swan Valley - 13 June 2020","I worked for Morrisons from January 2011 until September 2014. I started off on the Deli then a year later went to work on the Trolleys. The Management at times could be rude and expect a lot from you. You're expected to keep jumping back and forth on a till either to cover breaks or because not enough tills are open. Sometimes I was behind with my work and on my own most of the time","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2262","Facilities (Former Employee) - Bradford, West Yorkshire - 10 June 2020",NA,"Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2263","Team leader (Former Employee) - Portsmouth - 9 June 2020","Work Colleagues, 10% staff discount and staff canteen","10% Dis","Long hrs","MORRISONS"
"2264","Customer Service Assistant (Former Employee) - York, North Yorkshire - 6 June 2020","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","None","Everything","MORRISONS"
"2265","Fishmonger (Former Employee) - Kidderminster, Worcestershire - 5 June 2020","I worked for Morrison’s for 12 years worked my way up to manager level nothing was ever good enough contracted to 43 hrs did more like 63 and only paid 43 worst company I have ever worked for","Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2266","Customer Services Assistant (Part-time) (Current Employee) - Beverley, East Riding of Yorkshire - 4 June 2020",NA,"Money ok","My list would be endless!!","MORRISONS"
"2267","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","None","If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2268","Night Team Manager (Former Employee) - Walderslade, Kent - 28 June 2020","Don’t expect to have a life outside of work","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2269","Floor Staff (Former Employee) - Peterhead, Aberdeenshire - 28 June 2020","Management  still living in the 80's bully boy tactics  all the time .treated like an animal .horrible place to work for .once you clock in for duty it's like working in a prison slave drivers","Pay","Poor Management","MORRISONS"
"2270","Nights Assistant (Former Employee) - Stanground, Cambridgeshire - 28 June 2020",NA,"Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2271","Customer Service Assistant (Former Employee) - Carlisle, Cumbria - 27 June 2020","None","Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2272","Buyer (Former Employee) - Bradford, West Yorkshire - 26 June 2020","Terrible to work for","None","Don’t expect to have a life outside of work","MORRISONS"
"2273","General Labourer (Former Employee) - Grimsby, Lincolnshire - 20 June 2020","when I first started working for Morrisons they were a really good company to work for.  But over the years they have become a terrible company to work for.","None","Terrible to work for","MORRISONS"
"2274","Customer Service Assistant (Current Employee) - United Kingdom - 19 June 2020","There are constant restructures and Manager's change regularly, so as soon as you get into a routine it gets changed. ","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2275","Customer Service (Current Employee) - Sheffield, South Yorkshire - 18 June 2020","If you are manager level you do very long days (contract for 40 hours, work 60).","Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2276","Sales Assistant and Cashier (Former Employee) - Birmingham, West Midlands - 17 June 2020",NA,"10% Dis","Long hrs","MORRISONS"
"2277","Team manager (Former Employee) - Bromsgrove, Worcestershire - 17 June 2020","10% discount, good holiday.","None","Everything","MORRISONS"
"2278","Warehouse Operative (Former Employee) - Bradford, West Yorkshire - 15 June 2020","long days once manager level. No proper structure. Constant changes.","Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2279","Duty Manager (Former Employee) - Braintree, Essex, Maldon, Essex. - 14 June 2020","I worked on the bakery where I would pack fresh products, work stock, slice bread and reduce products as well as serve on cakeshop. I would also close the department at the end of the day.","Money ok","My list would be endless!!","MORRISONS"
"2280","Customer Assistant (Former Employee) - Verwood, Dorset - 13 June 2020",NA,"If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2281","Deli Counter Assistant (Former Employee) - Gibraltar - 13 June 2020","Gibraltar Morrisons ","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2282","Warehouse Operative (Former Employee) - Swan Valley - 13 June 2020","Good to work for ","Pay","Poor Management","MORRISONS"
"2283","Facilities (Former Employee) - Bradford, West Yorkshire - 10 June 2020","Salary excellent ","Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2284","Team leader (Former Employee) - Portsmouth - 9 June 2020","Understanding ","Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2285","Customer Service Assistant (Former Employee) - York, North Yorkshire - 6 June 2020","Excellent staff ","None","Don’t expect to have a life outside of work","MORRISONS"
"2286","Fishmonger (Former Employee) - Kidderminster, Worcestershire - 5 June 2020","Good communication from employers ","None","Terrible to work for","MORRISONS"
"2287","Customer Services Assistant (Part-time) (Current Employee) - Beverley, East Riding of Yorkshire - 4 June 2020","Colleges are very pleasant to work with which is important ","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2288","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","Overall no complaints","Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2289","Night Team Manager (Former Employee) - Walderslade, Kent - 28 June 2020",NA,"10% Dis","Long hrs","MORRISONS"
"2290","Floor Staff (Former Employee) - Peterhead, Aberdeenshire - 28 June 2020","This job at Morrisons was important for me, for my career. In that warehouse I had  the opportunity to improve my skills, to achieve more experience. Overall was a good job!","None","Everything","MORRISONS"
"2291","Nights Assistant (Former Employee) - Stanground, Cambridgeshire - 28 June 2020",NA,"Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2292","Customer Service Assistant (Former Employee) - Carlisle, Cumbria - 27 June 2020","Worked for the company for 7 years and was made redundant in the big cut. Someone who had no idea of my job role reinterviewed me for the job in had been doing then decided the role wasn’t needed ( it was - as the had to seek 2 replacements for me ). Awful managers throughout the business - especially mine.","Money ok","My list would be endless!!","MORRISONS"
"2293","Buyer (Former Employee) - Bradford, West Yorkshire - 26 June 2020",NA,"If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2294","General Labourer (Former Employee) - Grimsby, Lincolnshire - 20 June 2020","Decent salary","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
"2295","Customer Service Assistant (Current Employee) - United Kingdom - 19 June 2020","Expect to have the life sucked out of you.","Pay","Poor Management","MORRISONS"
"2296","Customer Service (Current Employee) - Sheffield, South Yorkshire - 18 June 2020","Periodic financial reporting expert","Clocking out for sometime","Regional management, undervalued, overworked","MORRISONS"
"2297","Sales Assistant and Cashier (Former Employee) - Birmingham, West Midlands - 17 June 2020","Accounts receivable professional","Work Colleagues, 10% staff discount and staff canteen","Management, Rude customers, Being moved from one department to another, staff shortages and low hours and wages","MORRISONS"
"2298","Team manager (Former Employee) - Bromsgrove, Worcestershire - 17 June 2020","Knowledge of income tax procedures","None","Don’t expect to have a life outside of work","MORRISONS"
"2299","Warehouse Operative (Former Employee) - Bradford, West Yorkshire - 15 June 2020","Invoice coding familiarity","None","Terrible to work for","MORRISONS"
"2300","Duty Manager (Former Employee) - Braintree, Essex, Maldon, Essex. - 14 June 2020","General ledger accounting skills","10% discount, good holiday.","long days once manager level. No proper structure. Constant changes.","MORRISONS"
"2301","Customer Assistant (Former Employee) - Verwood, Dorset - 13 June 2020","Intuit QuickBooks specialist/ Sage line 50 Payrolls ","Decent salary","Expect to have the life sucked out of you.","MORRISONS"
"2302","Deli Counter Assistant (Former Employee) - Gibraltar - 13 June 2020","Proficient in Adobe software","10% Dis","Long hrs","MORRISONS"
"2303","Warehouse Operative (Former Employee) - Swan Valley - 13 June 2020","Complex problem solving","None","Everything","MORRISONS"
"2304","Facilities (Former Employee) - Bradford, West Yorkshire - 10 June 2020","Strong communication skills","Some genuine kind staff","Bad management especially store manager","MORRISONS"
"2305","Team leader (Former Employee) - Portsmouth - 9 June 2020",NA,"Money ok","My list would be endless!!","MORRISONS"
"2306","Customer Service Assistant (Former Employee) - York, North Yorkshire - 6 June 2020","10% Dis","If your face fits you get an easy ride.","If you don't cowtail to management then they are out to make your life as difficult as possible","MORRISONS"
"2307","Fishmonger (Former Employee) - Kidderminster, Worcestershire - 5 June 2020","Long hrs","Good salary, varied work, great people","Work life balance, culture","MORRISONS"
